genus	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
Lactonifactor	0.003358557329105	0.0043416480908186	0.0006669632113529	0.0174812847069679	0.0061439879892301	0.0089111219838647	0.0241891266159482	0.0340334256586894	0.0248991972721006	0.0010081632649624	0.0045213361970129	0.0074533459050531	0.0016529438157456	0.0040908185010348	0.0	0.012685745803466	0.0332807865344417	0.0007053788260961	0.0050133664986446	0.0342759941109429	0.0	0.0004841605127941
Fumia	0.0029629377940976	0.0009387347223391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerofilum	0.0029461029202675	0.0161931739603504	0.0	0.000112574970514	0.0	0.0003613726887465	0.0	0.0	0.0	0.0107565894117608	0.0080732018242678	0.0076435705105185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020202086424789	0.0
GGB58071	0.0025841531329204	0.0	0.0096146644753475	0.0142809391166398	0.011984467893545	0.0194648470983957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Longibaculum	0.0024747264530247	0.000435841121086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4557581458149092	0.6696896790634432	2.3712794057207627	0.0	0.0	0.1227692487416755	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zongyangia	0.0022558730932334	0.002480941766182	0.0032741830375507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044968781675734	0.0075831936611592	0.0	0.0	0.0	0.0	0.0
GGB45613	0.001851836121311	0.0060347232150374	0.0081767957339892	0.0040848632157956	0.0008038862789646	0.0014290647236796	0.0	0.0	0.0	0.0	0.0	0.0	0.0004087925565822	0.0023148908148404	0.0	0.010857248649725	0.0121095257627363	0.0	0.0	0.0	0.0080057028435426	0.0089442284205658
GGB9491	0.0007996565069297	0.0	0.0015764584995614	0.0094884618004701	0.0057994652982452	0.0056916198477587	0.0	0.0	0.0	0.0039130404690917	0.0009694705697579	0.0148029329343978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB58158	0.0005555508363933	0.0015254439238011	0.0020008896340588	0.0014634746166826	0.0003609285334127	0.0023242834298928	0.0083054299282574	0.0110176307265951	0.0133692205562045	0.0079200622594934	0.005722450177244	0.0122521939065664	0.0006487360137066	0.000309241139387	0.0	2.6246370627860727e-05	0.0017415947164384	0.0131047487932563	0.0155605181636134	0.0	0.0096836447325438	0.005028474097792
Clostridiaceae_unclassified	0.0004713764672428	0.010376371305856	0.0002511939367433	3.836659529020124	1.6391733403362874	1.5542721473147267	0.0644021259521316	0.1911148889791254	0.2030542551057542	0.3481751641843352	0.523428313813583	0.094524335770349	1.084775482864594	0.3406777100710631	0.0	0.1103747372803636	0.0081909376507497	1.4766468333817566	0.0685738331112196	0.0	0.0	0.0140321608269466
Cuneatibacter	0.0001262615537257	0.0006034723215037	0.0024079970487807	0.0316255256451265	0.0264544209149094	0.0337719203664992	0.0	0.0	0.0	0.0008800069177214	0.0046242888238898	0.0030954731253004	0.0125925881016755	0.0140218768059229	0.0008110776538307	0.033849069319731	0.0309768018574866	0.0100707699870355	0.0118395246897058	0.0	0.0076634360900648	0.0333476170742086
Muricomes	0.0	0.0232169212578523	0.0857264273085719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Holdemania	0.0	0.0106026734264199	0.0096406500550106	0.0211480123179971	0.0086294731170495	0.0173869541381028	0.0	0.0	0.0	0.035678727071893	0.0461141974553025	0.0808108710308893	0.0194176464376578	0.0164604640765182	0.100983528534479	0.0417404780885078	0.0676863529899167	0.0130452590127422	0.0	0.0	0.0347943372803815	0.0175232129455151
Lactobacillus	0.0	0.0068812607771468	0.0	0.0	0.0030678925340081	0.0071699626653584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0366627018768533	0.0232193462229616	0.0	0.0027214380886286	0.0014015172738778
GGB55957	0.0	6.705248016708266e-05	0.0027284858646256	0.0	0.0001558555030645	0.001363360598453	0.0021727285044386	0.0063467257907246	0.0093870841283668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011642999900623	0.0012229838690465	0.0	0.0	0.0
Prevotella	0.0	0.0	0.0131487033095293	0.0058297752587634	0.0026905581581675	0.0047635490789322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB4277	0.0	0.0	0.009571355175909	0.3901446424550961	0.3184702132094402	0.3784475482898639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB26772	0.0	0.0	0.0088957301046684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001868689698503
GGB2848	0.0	0.0	0.0004504167141604	0.0006754498230843	0.0	0.0	0.0	0.0	0.0	0.0025118644059235	0.0005147631343847	0.0652383931016542	0.0	0.000998407107164	0.0047530894767502	0.0151091606914384	0.0038188092480239	0.0	0.0143201870056442	0.0	0.0034811033219575	0.001656338596401
