feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	age	age	-0.115944348339674	0.0484210839143113	22	22	0.0166429844879344	0.162494003953143
PWY.7688..dTDP..alpha..D.ravidosamine.and.dTDP.4.acetyl..alpha..D.ravidosamine.biosynthesis	stay_years	stay_years	-1.22701127166753	0.511911473639384	22	20	0.0165334958393973	0.162494003953143
GLYOXYLATE.BYPASS..glyoxylate.cycle	status	uninfected	-1.6960733995423	0.711164004669277	22	17	0.017082565343766	0.163472231269814
PWY.6863..pyruvate.fermentation.to.hexanol..engineered.	age	age	0.0576274089287393	0.0241463355497218	22	1	0.0170054330032704	0.163472231269814
PWY.7805...aminomethyl.phosphonate.degradation	spike_inhibition	yes	6.50742635473993	2.72589571886065	22	12	0.0169744048852397	0.163472231269814
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate	spike_inhibition	yes	0.259286142567478	0.109173628535456	22	22	0.0175494837602881	0.163498103607187
PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	spike_inhibition	yes	0.0517552977418326	0.0218135335068309	22	22	0.0176622671999802	0.163498103607187
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	spike_inhibition	yes	0.631956793075502	0.266593838681728	22	21	0.0177647472050019	0.163498103607187
PWY.5656..mannosylglycerate.biosynthesis.I	spike_inhibition	yes	1.26335703437622	0.531969011422459	22	16	0.0175551507732962	0.163498103607187
PWY.6749..CMP.legionaminate.biosynthesis.I	stay_years	stay_years	-1.91669888380464	0.809052379553418	22	19	0.0178330470474213	0.163498103607187
PWY.801..homocysteine.and.cysteine.interconversion	status	uninfected	-3.27837175751364	1.38436002310643	22	16	0.017877301294073	0.163498103607187
TCA..TCA.cycle.I..prokaryotic.	antibiotics	yes	0.975817607637246	0.410456514178132	22	18	0.017435366610066	0.163498103607187
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	age	age	-0.125472605107243	0.0532862448615432	22	22	0.0185381477058191	0.168475619087475
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation	status	uninfected	-2.58944830109847	1.10168449415885	22	13	0.0187510018998393	0.169344985907923
CRNFORCAT.PWY..creatinine.degradation.I	stay_years	stay_years	1.96429842399742	0.843272817714664	22	13	0.0198392205747128	0.171653458386993
GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation	stay_years	stay_years	3.20479070907161	1.37954331072122	22	12	0.0201748071022041	0.171653458386993
P23.PWY..reductive.TCA.cycle.I	stay_years	stay_years	1.60275710078986	0.686110383437403	22	15	0.0194909950339385	0.171653458386993
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I	spike_inhibition	yes	0.86349129769692	0.369346080261691	22	18	0.0193928441550755	0.171653458386993
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	antibiotics	yes	1.84641317861464	0.790751906888676	22	9	0.0195429268470407	0.171653458386993
PWY.5005..biotin.biosynthesis.II	spike_inhibition	yes	0.979326770637	0.418896022468373	22	17	0.0193937047464882	0.171653458386993
PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle	spike_inhibition	yes	3.83744821146871	1.65242385636137	22	11	0.0202159966141994	0.171653458386993
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine	status	uninfected	-2.65711951406427	1.13876827165896	22	14	0.019630954446181	0.171653458386993
